Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
1192,TA854,2022/23,STA,Esketamine nasal spray,Pharmaceutical,Treatment-resistant depression,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1193,TA855,2022/23,STA,Mobocertinib,Pharmaceutical,EGFR exon 20 insertion mutation-positive advanced non-small-cell lung cancer after platinum-based chemotherapy,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1194,TA856,2022/23,STA,Upadacitinib ,Pharmaceutical,Moderately to severely active ulcerative colitis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1195,TA857,2022/23,STA,Nivolumab with platinum- and fluoropyrimidine-based chemotherapy,Pharmaceutical," Untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma",Recommended,Recommended in line with marketing authorisation and following agreement of a commercial access arrangement
1196,TA858,2022/23,MTA,Lenvatinib,Pharmaceutical, Untreated advanced renal cell carcinoma,Optimised,"Optimised recommendation for lenvatinib with pembrolizumab for untreated advanced renal cell carcinoma in adults, only if:
their disease is intermediate or poor risk as defined in the International Metastatic Renal Cell Carcinoma Database Consortium criteria and
nivolumab with ipilimumab would otherwise be offered and
the companies provide lenvatinib and pembrolizumab according to the commercial arrangements."
1197,TA858,2022/23,MTA,Pembrolizumab,Pharmaceutical,Untreated advanced renal cell carcinoma,Optimised,"Optimised recommendation for lenvatinib with pembrolizumab for untreated advanced renal cell carcinoma in adults, only if:
their disease is intermediate or poor risk as defined in the International Metastatic Renal Cell Carcinoma Database Consortium criteria and
nivolumab with ipilimumab would otherwise be offered and
the companies provide lenvatinib and pembrolizumab according to the commercial arrangements."
1198,TA859,2022/23,STA,Angiotensin II ,Pharmaceutical,Vasosuppressor-resistant hypotension caused by septic or distributive shock,Terminated Appraisal - non submission,The single technology appraisal process is based on the company's submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1199,TA860,2022/23,STA,Maribavir ,Pharmaceutical,Refractory cytomegalovirus infection after transplant,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1200,TA861,2022/23,STA,Upadacitinib ,Pharmaceutical,Active non-radiographic axial spondyloarthritis,Optimised,"Optimised recommendation for upadacitinib for treating active non-radiographic axial spondyloarthritis with objective signs of inflammation (shown by elevated C-reactive protein or MRI) that is not controlled well enough with non-steroidal anti-inflammatory drugs (NSAIDs) in adults. It is recommended only if:
tumour necrosis factor (TNF)-alpha inhibitors are not suitable or do not control the condition well enough and
the company provides upadacitinib according to the commercial arrangement."
1201,TA862,2022/23,STA,Trastuzumab deruxtecan ,Pharmaceutical,HER2-positive unresectable or metastatic breast cancer after 1 or more anti-HER2 treatments,Recommended (CDF),Trastuzumab deruxtecan is recommended with managed access as an option for treating HER2‑positive unresectable or metastatic breast cancer after 1 or more anti-HER2 treatments in adults. It is only recommended if the conditions in the managed access agreement for trastuzumab deruxtecan are followed.
1202,TA863,2022/23,STA,Somatrogon ,Pharmaceutical,Growth disturbance in people 3 years and over,Recommended,Recommended in line with marketing authorisation
1203,TA864,2022/23,STA,Nintedanib ,Pharmaceutical,Idiopathic pulmonary fibrosis when forced vital capacity is above 80% predicted,Recommended,"Part review of TA379 which did not recommend people with a forced vital capacity above 80% predicted . Nintedanib is recommended as an option for treating idiopathic pulmonary fibrosis in adults, only if:
they have a forced vital capacity of above 80% predicted
the company provides it according to the commercial arrangement."
1204,TA865,2022/23,STA,Nivolumab with fluoropyrimidine- and platinum-based chemotherapy ,Pharmaceutical,"Untreated unresectable advanced, recurrent, or metastatic oesophageal squamous cell carcinoma",Optimised,"Optimised recommendation for nivolumab with fluoropyrimidine-based and platinum-based combination chemotherapy for untreated unresectable advanced, recurrent, or metastatic oesophageal squamous cell carcinoma in adults whose tumours express PD‑L1 at a level of 1% or more. It is recommended only if:
 - pembrolizumab plus chemotherapy is not suitable
 - the company provides nivolumab according to the commercial arrangement."
1205,TA866,2022/23,STA,Regorafenib ,Pharmaceutical,Previously treated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1206,TA867,2022/23,STA,Mitapivat ,Pharmaceutical,Pyruvate kinase deficiency ,Terminated Appraisal - non submission,The single technology appraisal process is based on the company's submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1207,TA868,2022/23,STA,Vutrisiran ,Pharmaceutical,Hereditary transthyretin-related amyloidosis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1208,TA869,2022/23,STA,Teclistamab ,Pharmaceutical,Relapsed or refractory multiple myeloma after 3 or more therapies,Terminated Appraisal - non submission,The single technology appraisal process is based on the company's submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1209,TA870,2022/23,STA,Ixazomib with lenalidomide and dexamethasone,Pharmaceutical,Relapsed or refractory multiple myeloma,Optimised,"Review of TA505. Optimised recommendation for ixazomib, with lenalidomide and dexamethasone, as an option for treating multiple myeloma in adults, only if:
they have had 2 or 3 lines of therapy and 
the company provides ixazomib according to the commercial arrangement."
1210,TA871,2022/23,STA,Eptinezumab ,Pharmaceutical,Preventing migraine,Optimised,"Optimised recommendation for eptinezumab for preventing migraine in adults, only if:
they have 4 or more migraine days a month
at least 3 preventive drug treatments have failed and
the company provides it according to the commercial arrangement."
1211,TA872,2022/23,STA,Axicabtagene ciloleucel ,Pharmaceutical,Diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,Recommended,CDF review of TA559. Recommended in line with marketing authorisation and following agreement of a patient access scheme
1212,TA873,2022/23,STA,Cannabidiol ,Pharmaceutical,Treating seizures caused by tuberous sclerosis complex,Optimised,"Optimised recommendation for cannabidiol as an add-on treatment option for seizures caused by tuberous sclerosis complex in people aged 2 years and over, only if:
their seizures are not controlled well enough by 2 or more antiseizure medications (either used alone or in combination) or these treatments were not tolerated
seizure frequency is checked every 6 months, and cannabidiol is stopped if the frequency has not fallen by at least 30% compared with the 6 months before starting treatment
the company provides cannabidiol according to the commercial arrangement."
1213,TA874,2022/23,STA,Polatuzumab vedotin in combination ,Pharmaceutical,Untreated diffuse large B-cell lymphoma,Optimised,"Optimised recommendation for polatuzumab vedotin with rituximab, cyclophosphamide, doxorubicin and prednisolone (R‑CHP) for untreated diffuse large B-cell lymphoma (DLBCL) in adults, only if 
they have an International Prognostic Index (IPI) score of 2 to 5
the company provides it according to the commercial arrangement."
1214,TA875,2022/23,STA,Semaglutide ,Pharmaceutical,Managing overweight and obesity,Optimised,"Optimised recommendation for semaglutide for weight management, including weight loss and weight maintenance, alongside a reduced-calorie diet and increased physical activity in adults, only if:
it is used for a maximum of 2 years, and within a specialist weight management service providing multidisciplinary management of overweight or obesity (including but not limited to tiers 3 and 4), and
they have at least 1 weight-related comorbidity and:
a body mass index (BMI) of at least 35.0 kg/m2, or
a BMI of 30.0 kg/m2 to 34.9 kg/m2 and meet the criteria for referral to specialist weight management services in NICE's guideline on obesity: identification, assessment and management.
Use lower BMI thresholds (usually reduced by 2.5 kg/m2) for people from South Asian, Chinese, other Asian, Middle Eastern, Black African or African-Caribbean family backgrounds."
